cleaned_method,target_block,tokens_in_method
"def _resolve_lib_imported_symbols(self, lib, imported_libs, generic_refs): <TAB> """"""Resolve the imported symbols in a library."""""" <TAB> for symbol in lib.elf.imported_symbols: <TAB>  <TAB> imported_lib = self._find_exported_symbol(symbol, imported_libs) <TAB>  <TAB> if not imported_lib: <TAB>  <TAB>  <TAB> lib.unresolved_symbols.add(symbol) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> lib.linked_symbols[symbol] = imported_lib <MASK> ref_lib = generic_refs.refs.get(imported_lib.path) <TAB>  <TAB>  <TAB>  <TAB> if not ref_lib or not symbol in ref_lib.exported_symbols: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> lib.imported_ext_symbols[imported_lib].add(symbol)",if generic_refs :,189
"def make_docs_directory(output_dir, name): <TAB> if not isdir(pjoin(output_dir, name)): <TAB>  <TAB> subprocess.run([""mkdir"", pjoin(output_dir, name)], stdout=subprocess.PIPE) <TAB> for i in range(10): <MASK> subprocess.run( <TAB>  <TAB>  <TAB>  <TAB> [""mkdir"", pjoin(output_dir, name, str(i))], stdout=subprocess.PIPE <TAB>  <TAB>  <TAB> )","if not isdir ( pjoin ( output_dir , name , str ( i ) ) ) :",121
"def assert_results(self, results, activities, msg=""""): <TAB> activity_ids = [] <TAB> extra_context = [] <TAB> for result in results: <TAB>  <TAB> if hasattr(result, ""serialization_id""): <TAB>  <TAB>  <TAB> activity_ids.append(result.serialization_id) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> activity_ids.append(result) <MASK> extra_context.append(result.extra_context) <TAB> compare_lists(activity_ids, [a.serialization_id for a in activities], msg) <TAB> if extra_context: <TAB>  <TAB> self.assertEquals([a.extra_context for a in activities], extra_context)","if hasattr ( result , ""extra_context"" ) :",164
"def for_file(cls, filename: str, modname: str) -> ""ModuleAnalyzer"": <TAB> if (""file"", filename) in cls.cache: <TAB>  <TAB> return cls.cache[""file"", filename] <TAB> try: <TAB>  <TAB> with tokenize.open(filename) as f: <TAB>  <TAB>  <TAB> obj = cls(f, modname, filename, decoded=True) <TAB>  <TAB>  <TAB> cls.cache[""file"", filename] = obj <TAB> except Exception as err: <MASK> obj = cls.cache[""file"", filename] = cls.for_egg(filename, modname) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise PycodeError(""error opening %r"" % filename, err) from err <TAB> return obj","if "".egg"" + path . sep in filename :",170
"def merge_dicts(source: Dict, destination: Dict) -> Dict: <TAB> for key, value in source.items(): <MASK> # get node or create one <TAB>  <TAB>  <TAB> node = destination.setdefault(key, {}) <TAB>  <TAB>  <TAB> merge_dicts(value, node) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> destination[key] = value <TAB> return destination","if isinstance ( value , dict ) :",92
"def _escape_attrib_c14n(text): <TAB> # escape attribute value <TAB> try: <TAB>  <TAB> if ""&"" in text: <TAB>  <TAB>  <TAB> text = text.replace(""&"", ""&amp;"") <TAB>  <TAB> if ""<"" in text: <TAB>  <TAB>  <TAB> text = text.replace(""<"", ""&lt;"") <TAB>  <TAB> if '""' in text: <TAB>  <TAB>  <TAB> text = text.replace('""', ""&quot;"") <MASK> text = text.replace(""\t"", ""&#x9;"") <TAB>  <TAB> if ""\n"" in text: <TAB>  <TAB>  <TAB> text = text.replace(""\n"", ""&#xA;"") <TAB>  <TAB> if ""\r"" in text: <TAB>  <TAB>  <TAB> text = text.replace(""\r"", ""&#xD;"") <TAB>  <TAB> return text <TAB> except (TypeError, AttributeError): <TAB>  <TAB> _raise_serialization_error(text)","if ""\t"" in text :",188
"def get_oldest(class_name): <TAB> """"""Get the oldest object for a specific class name"""""" <TAB> for cls, wdict in six.iteritems(live_refs): <MASK> if not wdict: <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB> return min(six.iteritems(wdict), key=itemgetter(1))[0]",if cls . __name__ == class_name :,90
"def recursive_rm(*patterns): <TAB> """"""Recursively remove a file or matching a list of patterns."""""" <TAB> for root, subdirs, subfiles in os.walk(u"".""): <TAB>  <TAB> root = os.path.normpath(root) <TAB>  <TAB> if root.startswith("".git/""): <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> for file in subfiles: <TAB>  <TAB>  <TAB> for pattern in patterns: <MASK> safe_remove(os.path.join(root, file)) <TAB>  <TAB> for dir in subdirs: <TAB>  <TAB>  <TAB> for pattern in patterns: <TAB>  <TAB>  <TAB>  <TAB> if fnmatch.fnmatch(dir, pattern): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> safe_rmtree(os.path.join(root, dir))","if fnmatch . fnmatch ( file , pattern ) :",170
"def _methods(ctx, cls, inst): <TAB> while cls.Attributes._wrapper and len(cls._type_info) > 0: <TAB>  <TAB> (cls,) = cls._type_info.values() <TAB> if cls.Attributes.methods is not None: <TAB>  <TAB> for k, v in cls.Attributes.methods.items(): <TAB>  <TAB>  <TAB> is_shown = True <MASK> is_shown = v.when(inst, ctx) <TAB>  <TAB>  <TAB> if is_shown: <TAB>  <TAB>  <TAB>  <TAB> yield k, v",if v . when is not None :,130
"def save(self): <TAB> for file_field in self.files: <TAB>  <TAB> file = self.cleaned_data[file_field] <TAB>  <TAB> self.cleaned_data[file_field] = default_storage.save(file.name, file) <TAB> for name in settings.CONFIG: <TAB>  <TAB> current = getattr(config, name) <TAB>  <TAB> new = self.cleaned_data[name] <MASK> new = normalize_newlines(new) <TAB>  <TAB> if ( <TAB>  <TAB>  <TAB> conf.settings.USE_TZ <TAB>  <TAB>  <TAB> and isinstance(current, datetime) <TAB>  <TAB>  <TAB> and not timezone.is_aware(current) <TAB>  <TAB> ): <TAB>  <TAB>  <TAB> current = timezone.make_aware(current) <TAB>  <TAB> if current != new: <TAB>  <TAB>  <TAB> setattr(config, name, new)","if isinstance ( new , str ) :",192
